URL: /
 Timestamp: Wed Nov 15 2023 03:53:04 GMT-0600 (Central Standard Time)

::1 - - [27/Nov/2023:22:55:58 +0000] "GET /movies HTTP/1.1" 200 571 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:22:59:18 +0000] "GET /movies/Kill%20Bill HTTP/1.1" 200 52 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:04:06 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:05:51 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:10:14 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:10:48 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:12:02 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:17:56 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:38:26 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:40:26 +0000] "GET /movies/director/Quentin%20Tarantino HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:41:14 +0000] "GET /movies/director/Quentin%20Tarantino HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:42:09 +0000] "GET /movies/Kill%20Bill HTTP/1.1" 200 52 "-" "PostmanRuntime/7.35.0"
::1 - - [27/Nov/2023:23:48:39 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 22 "-" "PostmanRuntime/7.35.0"
